,AMZN,DPZ,BTC,NFLX,y_AMZN,y_DPZ,y_BTC,y_NFLX,series_id
count,93184.0,93184.0,93184.0,93184.0,93184.0,93184.0,93184.0,93184.0,93184.0
mean,6.511655502903725,4.865416029334819,6.871443661152755,4.741870972972446,6.553074317496495,4.899512914428488,6.959337077568538,4.795119275458013,727.5
std,0.6109424045829239,0.49471583583200013,1.3598654655704585,0.6851447012151284,0.6146931585284495,0.4894359555293689,1.3378837623165456,0.6802060544873869,420.3131521292003
min,5.514355719618112,3.9355634032544473,4.243626322359616,3.3831788519170525,5.638105503063092,4.049512663772414,4.632785382203943,3.560152814440631,0.0
25%,5.915015369547339,4.483364125056551,5.874312559486398,4.149463892988921,5.935316231686222,4.536607484371383,5.937298695789389,4.167434497850759,363.75
50%,6.527738560232144,4.844897991186249,6.437815612490741,4.644006200154205,6.580304547003994,4.881401855577957,6.479661045277063,4.688220878449594,727.5
75%,6.9190314898737055,5.273201189516911,8.238692860931483,5.235164524913028,7.056313082647406,5.327462447313122,8.281870452366325,5.275982196580438,1091.25
max,7.620464866811271,5.699225393583772,9.850736370156659,6.037799320700263,7.620464866811271,5.699225393583772,9.850736370156659,6.037799320700263,1455.0
